,title,category
0,중대재해 유죄 확정 22곳 공표…삼강에스앤씨 등 포함,Social
1,"수목원 된 옛 쓰레기 매립지, 이제는 ‘탄소 돈’ 만든다…부산 첫 배출권 모델",Social
2,"""음료 3잔 가져가""...점주 고소로 알바생 '횡령 혐의' 송치 논란",Social
3,“몇 년 만에 제복 꺼냈다”…국밥 한 그릇에 웃은 참전용사,Social
4,"경찰, '마약 투약' 역주행하고 경찰 폭행 50대 검거",Social
5,"횡성군, 무주택 청년 월세 2년간 최대 480만원 지원",Social
6,기후장관 “종량제 봉투 부족 시 일반 봉투에 쓰레기 버리기 허용”,Social
7,삼일절 글자위에 오사카성·후지산…금융기관 달력 논란,Social
8,노원구 ‘도서관의 날 기념 주간’ 맞아 다채로운 행사 마련,Social
9,"“정정하다는 말도 부족”…94세 이길여, 또다시 ‘동안 외모’ 화제",Social
10,"""유전자 분석 필요하다""…'최강 동안' 94세 이길여 근황",Social
11,"88조 '황금알' 함정 MRO 시장 정조준…경남, 닻 올렸다",Social
12,대통령도 “그러다 치명타” 강력 경고했는데…4만원짜리 방이 ‘15만원’ 됐다,Social
13,"""나를 비난하지 않는 완벽한 연인""... 청년들의 열광, 전문가의 경고",Social
14,무면허·마약 상태로 역주행 운전하다 경찰 폭행…50대 남성 체포,Social
15,"이중근 회장 ""출산장려금 1억 입사 하루 만에 받기도…바로 퇴사? 반환 없다""",Social
16,[속보]李 “쓰레기봉투 재고 충분…지엽적 문제 과장”,Social
17,"중앙지검, ‘N명 기소·구속’ 뿐만 아니라 ‘무혐의 결론’도 적극 공개",Social
18,"국밥 한 그릇 대접했더니...제복 입고 찾아온 참전용사, 이유는",Social
19,서초구 아파트서 아내 살해한 60대…배수로에 시신 유기 시도 ,Social
20,부천 사우나 29곳에 불과... 사라지는 대중 목욕탕,Social
21,"""알아봐 줘서 고마워""…오랜만에 제복 입고 국밥집 방문한 참전 용사",Social
22,임성근 전 사단장 보석 요청…“도주우려 없다” 주장,Social
23,[속보] '북한 무인기 관여' 국정원·정보사 관계자 송치,Social
24,3·1절 위에 日후지산·오사카성 그림이… 춘천 금융기관 달력 논란,Social
25,"서울시 ""공공주택 13만 호 공급‥전·월세 대출 지원 확대""",Social
26,‘회유 의혹’ 박상용 “자백·선처 설명한 것”…서민석 ‘추가폭로’ 예고,Social
27,‘北무인기’ 대학원생 도운 군인·국정원 직원 등 3명 송치… 군·경 수사 종료,Social
28,[연합뉴스 이 시각 헤드라인] - 10:30,Social
29,‘삼일절’ 날짜 위에 日후지산·오사카성이… 강원 금융기관 달력 논란,Social
30,아내 살해 후 시신 유기 시도한 60대 검거,Social
31,"교통대 총동문회 ""교통대가 여론 조작""…강력 대응 예고",Social
32,"장성군 '합계출산율 전국 2위' 논란…통계인가, 정치인가",Social
33,이혁재 “언론 공격 두렵지 않아…100만 유튜버 될 때까지 투쟁할 것”,Social
34,중앙선 침범·과속 줄었다... 청양 온직리 '위험 도로' 달라진 이유,Social
35,"유부남 심리상담사가 부적절 관계 협박까지…폭로하자 ""넌 상간녀일뿐""",Social
36,"생명들이 이어갈 천막농성... 끝났지만, 끝이 아닙니다",Social
37,“맞아야 잘한다”…중학생 선수 야구 방망이로 폭행한 감독,Social
38,"금감원, 검찰 사칭해 130억 강탈..보이스피싱 조직 검거",Social
39,김부겸 효과 확산…대구 민주당 ‘김부겸 마케팅’ 전면화,Social
40,"무면허 역주행, 출동 경찰도 폭행…잡고보니 필로폰 투약",Social
41,"주호영 ""이정현이 국힘 망쳐…張, 민주당 당선 위해 작정했나""",Social
42,"양부남, 대통령 공약 '경로당 부식비' 추경 반영 촉구",Social
43,"과천시의회, 사전투표 ‘도장 직접 날인’ 원칙 회복 촉구",Social
44,'생활관서 후임 껴안고 성희롱'한 해병대원…법원이 '선처',Social
45,"주호영 ""나를 빼는 건 이순신 빼는 것""... 김부겸 등판 속 책임론 폭발",Social
46,"""이게 리조트야 교도소야""...난리난 조감도에 법무부 해명",Social
47,'북한 무인기' 범행 도왔다…국정원·정보사 관계자 송치,Social
48,"“가해자 누군지도 모르는데…” 포기하려던 주차장 직원, 법률구조공단 도움으로 배상 받아",Social
49,분양가 20%만 내고 20년 동안 낮은 금리로 갚은 '바로내집',Social
50,"“복권은 확률상 불가능”이라던 수학 강사, 5억 당첨되자…",Social
51,"군경, '北무인기 이적 방조' 국정원 직원·현역 군인 송치",Social
52,"심근경색, 베타차단제 평생 복용?…'이 경우' 끊어도 돼",Social
53,인천서도 ‘보복 대행’ 범죄…현관에 인분 투척하고 본드 칠,Social
54,"""글로벌 무대서 증명""…의료AI, 美시장에서 '확장 가속'",Social
55,[오늘 인천] GTX-B노선 운영회사 본사 송도에 건립 등,Social
56,"""AI 시대 부족한건 정보 아닌 신뢰""... 인간기자 판단·책임 강조",Social
57,"폐지 줍던 참전용사, 제복 빼입고 국밥집 찾은 사연 ‘뭉클’",Social
58,입사 1년도 안 돼 1억 횡령…간 큰 장례식장 경리,Social
59,"""왜 빵빵거려"" 버스 올라 멱살 잡자 기사 침 '퉤'…나란히 조사",Social
60,민주당 분열 개의치 않는 여수 조계원·순천 김문수 ‘절친’ 행보,Social
61,'北 무인기 침투' 관여 국정원 직원·군인 3명 검찰 송치,Social
62,“돈가스 4천원 신촌 식당”…가성비 식당 정보 인기,Social
63,"“맞으니까 잘하네”… 야구 감독, 방망이로 중학생 제자들 폭행",Social
64,"'부천 금은방 살인' 김성호, 1심 무기징역 선고 불복해 항소",Social
65,인천 송도에 GTX-B 본사 건립 확정…생산유발효과 4091억,Social
66,국민의힘 세종시의원 단수공천 8곳 확정…현역의원 4명 포함,Social
67,이혼소송 중이던 아내 살해 뒤 배수로에 유기한 남편···충북 음성에서 검거,Social
68,"홍서범·조갑경 전 며느리, 또 폭로…""여론 난리 나니 양육비 주겠다고""",Social
69,“왜 돈 안 빌려줘”…지인 차량 방화한 50대 남성 체포,Social
70,"음주운전 전과자, 여야 공천 줄줄이 통과…곳곳에 잡음",Social
71,"보이스피싱에 날린 2400만원, 中공안에게 돌려받았다…무슨 일?",Social
72,중국서 되찾은 피싱 피해금 2천400만원…'국경 넘은 추적' 결실,Social
73,삼다수 사면 제주로… 탐나는전으로 관광객 소비 묶는다,Social
74,“맞아야 잘한다”…중학교 선수들 야구배트로 폭행한 감독,Social
75,"""지나갈게요 우측통행이요""…산책 커플 치고 간 러닝 크루",Social
76,'북한 무인기' 국정원 직원·현역 군인 송치…일반이적 방조 혐의 적용,Social
77,"""간판 잘 보세요""…피부과 10곳 중 9곳 '전문의' 아니다",Social
78,"노동장관, '내년 최저임금' 심의 요청…7월께 결정",Social
79,"'금은방 살인' 김성호, 1심 무기징역에 불복해 항소",Social
80,"[단독] 김주현, 계엄 직후 윤석열 13분 독대…특검 “반대세력 처벌법 논의 정황”",Social
81,"""통합 지지"" 교통대 퇴직교수 단체 성명 진정성 공방",Social
82,전북 학교서 식중독 의심 123명…재량 휴업 등 실시,Social
83,이혼소송 중인 아내 살해·야산에 유기하려던 60대 검거,Social
84,대포차 무면허 운전한 외국인 유학생 검거,Social
85,"인항회, 공항 공기업 통합 재검토 촉구…""인천공항 세계 경쟁력 약화""",Social
86,"“맞으니까 더 잘해” 중학생, 배트로 ‘줄빠따’친 야구 감독",Social
87,호르무즈 해협 봉쇄로 고립된 목포해양대 실습생 2명 무사 귀국,Social
88,"신현송 한은 총재 후보자 ""환율 현재 큰 우려 없다…달러 유동성 양호""",Social
89,전북 ‘11구단’ 공약 재등장…8000석 야구장 한계 논란,Social
90,"빗길서 미끄러진 전기차, 추돌 사고로 화재…30대 운전자 숨져",Social
91,"'10조원대 전분당 담합' 대상·사조CPK 경영진, 구속 기로",Social
92,"""왜 돈 안 빌려줘"" 지인 차량에 불 지르고 자수한 50대",Social
93,"""보조금 특혜, 앞뒤 순서 안 맞아""…실체 드러나는 이철우 지사 녹취록 파문",Social
94,"""너무 아파서 눈물 나""…40도 고열에도 출근한 교사의 마지막 메시지",Social
95,"""돈 왜 안 빌려줘"" 지인 차에 불 지른 50대 검거",Social
96,누가 여대 시위를 ‘폭력적 난동’으로 몰아갔나,Social
97,"혁신당 광주 출마자들 ""與 기득권 내려놓고 정치개혁을""",Social
98,"서울시, 분양가 20% 내면 ‘바로내집’ 올해 말 공급···공공임대 ‘바로입주제’ 도입",Social
99,"'근로자 추정제' 본격 논의…노동부, 현장목소리 듣는다",Social
100,"서울시, 무주택자 주거안정 위해 공공주택 13만호 공급",Social
101,'장기 기증' 김창민 영화감독…알고 보니 폭행 당해 뇌사,Social
102,"'한미약품 4자연합' 라데팡스 대표, 지주사 이사회 진입",Social
103,폐차 번호판 달고 차량 몰던 20대 우즈백인 검거,Social
104,'경기청년 사다리 프로그램'에 5250명 몰려…경쟁률 28.4대 1,Social
105,이경숙 서울시의원 “22년 기다린 창동민자역사 준공… 도봉의 새로운 랜드마크 탄생”,Social
106,"""아내가 납치됐다""…알고보니 '불륜 의심' 남편 허위신고",Social
107,"조갑경 前 며느리 ""내 인생 망치고 방관하더니, 여론 끓으니 '양육비 지급'""",Social
108,필로폰 투약하고 무면허 역주행…출동 경찰관도 폭행한 50대,Social
109,"""94세 이길여 총장 외계인이냐""…꼿꼿한 허리·동안 외모에 또 '들썩'",Social
110,동해에서 참다랑어 새끼 첫 발견… 바다 바뀌고 있다,Social
111,4명 살린 故김창민 감독…“폭행당해 숨졌다” 뒤늦게 알려진 사실,Social
112,"이승화 산청군수 ""민생지원금은 군민 먹고사는 문제 해결""",Social
113,"황석희 성범죄 의혹 속 과거 글 화제…""언젠가 실망할 날 온다"" 발언 재조명",Social
114,"고양시, 집중호우로 철거된 지축동 '통일교', 3년 8개월 만에 재개통",Social
115,지난해 국내 항우울제 처방 2400만건 이상… 소아 2.6배 늘어,Social
116,울산 아파트 단지서 초등생 SUV에 치여 숨져,Social
117,"경찰, 수업 중 성희롱 발언 혐의 광주 고교 교사 수사",Social
118,'얼굴 없는 천사' 11억 기부했는데…12억짜리 기념관 짓는 전주시,Social
119,"“왜 경적 울려” 승용차 운전자, 버스에 난입…폭행하자 침뱉어 ‘쌍방 폭행’",Social
120,의대 소재지 논의 헛바퀴…목포대·순천대 통합 먹구름,Social
121,삼일절 날짜 바로 위로 日후지산·오사카성이?…금융기관 달력 눈살,Social
122,장기기증 후 떠난 故김창민 감독…알고보니 폭행당해 뇌출혈 사망,Social
123,"“나에게 실망할 것”…‘성범죄 전과’ 황석희, 과거 ‘섬뜩한 예언글’ 소환",Social
124,춘천 한 금융기관이 배부한 달력 '삼일절' 날짜 바로 위에 日후지산·오사카성·벚꽃 논란,Social
125,영주시 “6개월분 확보 종량제 봉투 공급 문제없다”,Social
126,입학식 날 여중생들이 신입생 화장실 감금·폭행…영상까지 찍어 올렸다,Social
127,"화성 성곽 아래 한옥 스테이…수원 남수헌 개관, '체류형 관광' 시동",Social
128,안전공업 참사 마지막 발인…43년 근무 오상열 씨,Social
129,중동 긴장에 기름값 '들썩'…전국 휘발유 1천900원 재돌파 눈앞,Social
130,카페 女사장 몰래 찍고 또 왔다…50대 男의 황당 해명,Social
131,'생활관서 후임 껴안고 강제 추행' 해병대원…선고유예 선처,Social
132,“아들 채용해주면 정부지원금 도와줄게”…청년 취업 프로그램서 ‘취업청탁’?,Social
